               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085516,           0.0079085,                   0,             0.00025,            0.074627,          0.00013445,           2.116e-05,            0.089785,           0.0066151,                   0,              0.0706,           0.0032667,           0.0032667
                   1,             0.08415,            0.007786,                   0,          0.00063333,             0.18905,          0.00050755,          0.00017079,            0.079834,           0.0064882,                   0,            0.039947,           0.0059466,           0.0059466
                   2,            0.071878,           0.0075209,                   0,            0.011929,            0.054726,           0.0035506,           0.0008462,            0.079477,           0.0060157,                   0,           0.0086332,           0.0079665,           0.0079665
                   3,            0.066246,           0.0067783,                   0,          0.00096667,             0.28856,           0.0029577,          0.00067631,            0.068272,           0.0059619,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.065089,           0.0075184,                   0,             0.00095,             0.28358,           0.0031178,          0.00083576,            0.065416,           0.0058339,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.061172,           0.0070929,                   0,           0.0022333,             0.66667,           0.0045901,           0.0011238,            0.062376,           0.0056313,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.059574,           0.0075987,                   0,           0.0018667,             0.55721,            0.015449,           0.0039773,            0.054378,           0.0058791,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.052321,           0.0075337,                   0,             0.00245,             0.73134,            0.011972,           0.0035084,            0.050034,           0.0060024,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.045847,           0.0075475,                   0,             0.00265,             0.79104,            0.013243,           0.0044693,            0.047634,           0.0061367,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.047363,           0.0083222,                   0,           0.0027667,             0.82587,             0.01615,            0.005228,             0.04594,           0.0062425,                   0,             0.00208,             0.00208,             0.00208
